"Policy Effective Date","Submission Name","Submission Type","Production Office","Placing Broker","Line of Business","Client Name","Industry","Employees","Annual Revenue Currency","Annual Revenue","Stage","Lost/NTU Reason","Declined Reason","Production Region","Profit Center","100 Percent Policy Booked Premium Currency","100 Percent Policy Booked Premium","Assigned Underwriter","Effective Month","Last Modified Alias"
"1/30/2019","SD-FNL-ATL-19-1698024","New","Atlanta","USI Insurance Services National, Inc","Private/NFP","Miromar Development Inc","Other","4","USD","2900318.00","Lost/NTU","Lost/NTU","","North America","Financial Lines - 20150","USD","41217.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-FNL-ATL-18-1667777","New","Atlanta","Integro Insurance Brokers","Private/NFP","USA Diving, Inc","Not For Profit","10","USD","2610932.00","Declined","","Out of Appetite","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-FNL-ATL-18-1690281","New","Atlanta","All Risks Limited","Private/NFP","Tag Resources, LLC","Consulting","7","USD","1301572.00","Declined","","Out of Appetite","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/1/2018","SD-XFL-ATL-17-1300252","Renewal","Atlanta","USI Insurance Services LLC","Private/NFP","American Cast Iron Pipe Company","Manufacturing","2500","USD","1113661261.00","Bound","","","North America","Financial Lines - 20150","USD","17308.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-XFL-ATL-18-1631715","Renewal","Atlanta","USI Insurance Services LLC","Private/NFP","American Cast Iron Pipe Company","Manufacturing","2500","USD","1113661261.00","Bound","","","North America","Financial Lines - 20150","USD","18410.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-FNL-ATL-18-1675464","New","Atlanta","USI Insurance Services LLC","Private/NFP","American Cast Iron Pipe Company","Manufacturing","2500","USD","1113661261.00","Declined","","Time Limitations","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-FNL-ATL-18-1682253","New","Atlanta","USI Insurance Services LLC","Private/NFP","Bolta US ltd.","Manufacturing","0","USD","0.00","Declined","","Financial","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-FNL-ATL-18-1645440","New","Atlanta","Marsh & McLennan Agency LLC","Private/NFP","Ruth's Chris Steak House","Retail","46","USD","1300000.00","Declined","","Auto Close","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/13/2018","SD-FNL-ATL-17-1363506","New","Atlanta","R-T Specialty, LLC","Private/NFP","Florida Freedog LLC","Banking","4","USD","507963.00","Declined","","Reservation Conflict","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/15/2019","SD-FNL-ATL-19-1697900","New","Atlanta","USI Insurance Services LLC","Private/NFP","Cytometry Specialists, Inc.","Healthcare","100","USD","11821620.00","Declined","","Unable to Match Competitors","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/1/2019","SD-FNL-ATL-18-1655260","New","Atlanta","USI Insurance Services LLC","Private/NFP","Joe's Stone Crab, Inc.","Retail","100","USD","5500000.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/31/2019","SD-FNL-ATL-19-1700037","New","Atlanta","USI Insurance Services LLC","Private/NFP","UNITED PROPERTY MANAGEMENT, INC.","Other","37","USD","7302594.00","Declined","","Below Minimum Premium","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","sbatc"
"1/31/2017","SD-FNL-ATL-16-682096","New","Miami","USI Insurance Services National, Inc","Private/NFP","RRE Realty Services LLC","Other","5","USD","330000.00","Declined","","Auto Close","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jan","SF2.0"
"1/30/2017","SD-FNL-ATL-16-952082","Renewal","Atlanta","USI Insurance Services LLC","Private/NFP","EOI US Property Inc.","Other","3","USD","210000.00","Bound","","","North America","Financial Lines - 20150","USD","16149.00","Chris Cirelli","Jan","SF2.0"
"1/1/2017","SD-XFL-ATL-16-674037","Renewal","Atlanta","USI Insurance Services LLC","Private/NFP","American Cast Iron Pipe Company","Manufacturing","2500","USD","1113661261.00","Bound","","","North America","Financial Lines - 20150","USD","17174.00","Chris Cirelli","Jan","SF2.0"
"1/23/2017","SD-FNL-ATL-16-682997","Renewal","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","Action Lawn Service, Inc.","Agriculture","65","USD","1888413.00","Bound","","","North America","Financial Lines - 20150","USD","1571.00","Chris Cirelli","Jan","SF2.0"
"1/1/2017","SD-FNL-ATL-16-673935","Renewal","Atlanta","CRC Insurance Services Inc","Private/NFP","Hughes Furniture Industries, Inc","Manufacturing","337","USD","92004592.00","Bound","","","North America","Financial Lines - 20150","USD","18333.00","Chris Cirelli","Jan","SF2.0"
"1/1/2017","SD-FNL-ATL-16-674218","Renewal","Atlanta","CRC Insurance Services Inc","Private/NFP","Boyd Management Inc.","Other","525","USD","27109568.00","Bound","","","North America","Financial Lines - 20150","USD","44343.00","Chris Cirelli","Jan","SF2.0"
"1/31/2017","SD-FNL-ATL-16-952432","Renewal","Atlanta","CRC Insurance Services, Inc.","Private/NFP","Petroleum Club of Houston","Not For Profit","70","USD","4766312.00","Bound","","","North America","Financial Lines - 20150","USD","14754.00","Chris Cirelli","Jan","SF2.0"
"1/1/2017","SD-XFL-ATL-16-674097","Renewal","Atlanta","Willis Insurance Services of Georgia, Inc.","Private/NFP","Airlines Reporting Corporation","Other","450","USD","113006436.00","Bound","","","North America","Financial Lines - 20150","USD","20000.00","Chris Cirelli","Jan","SF2.0"
"1/1/2017","SD-XFL-ATL-16-673975","Renewal","Atlanta","R-T SPECIALTY, LLC","Commercial","Omega Healthcare Investors, Inc.","Finance","51","USD","881682000.00","Bound","","","North America","Financial Lines - 20150","USD","112621.00","Chris Cirelli","Jan","SF2.0"
"1/31/2017","SD-FNL-ATL-16-952428","Renewal","Atlanta","R-T SPECIALTY, LLC","Private/NFP","Families First, Inc","Other","120","USD","25649435.00","Bound","","","North America","Financial Lines - 20150","USD","17753.00","Chris Cirelli","Jan","SF2.0"
"1/31/2017","SD-XFL-ATL-16-952399","Renewal","Atlanta","Socius Insurance Services, Inc.","Financial Institutions","REPUBLIC BANCORP, INC.","Banking","1009","USD","256934000.00","Bound","","","North America","Financial Lines - 20150","USD","39000.00","Chris Cirelli","Jan","SF2.0"
"7/1/2019","SD-FNL-ATL-19-1856641","New","Atlanta","Lockton Companies, LLC","Private/NFP","Printpack Inc","Chemicals","3500","USD","11956560.00","Quoted","","","North America","Financial Lines - 20150","USD","121011.00","Chris Cirelli","Jul","asale"
"7/1/2017","SD-FNL-ATL-17-1056897","New","Atlanta","Willis Insurance Services of Georgia, Inc.","Private/NFP","American Youth Soccer Organization","Entertainment","0","USD","0.00","Declined","","Loss History","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","asale"
"7/14/2017","SD-FNL-ATL-17-1181204","New","Nashville","Worldwide Facilities, LLC","Private/NFP","Roger Bacon Academy, Inc.","Education","12","USD","1806549.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1161635","New","Charlotte","Aon Risk Services South, Inc.","Private/NFP","Cato Corporation","Apparel","10500","USD","849981000.00","Declined","","Below Minimum Premium","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/15/2017","SD-XFL-ATL-17-1184546","New","Charlotte","Aon Risk Services South, Inc.","Commercial","Cato Corporation","Apparel","10500","USD","849981000.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/7/2017","SD-XFL-ATL-17-1129163","Renewal","Atlanta","CRC Insurance Services Inc","Financial Institutions","NHB Holdings, Inc.","Banking","18","USD","3580911.00","Lost/NTU","Insured Did Not Purchase/Renew","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1104013","Renewal","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","Troc, LLC","Consulting","6","USD","565629.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/8/2017","SD-FNL-ATL-17-1177148","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","Rokwader, Inc.","Other","1","USD","5201542.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/30/2017","SD-FNL-ATL-17-1189755","New","Nashville","AmWINS Brokerage of Tennessee","Private/NFP","No Greater Joy Ministries","Not For Profit","14","USD","752437.00","Void","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/6/2017","SD-FNL-ATL-17-1175129","New","Atlanta","Aon Risk Services South, Inc.","Commercial","Milacron Holdings Corp.","Machinery","5797","USD","1258200000.00","Void","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/9/2017","SD-FNL-ATL-17-1155860","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Northstar Location Services, LLC","Finance","743","USD","65960274.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1173890","New","Nashville","CRC Insurance Services Inc","Private/NFP","American National Red Cross","Other","11","USD","855387.00","Declined","","Client/Broker Politics","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/30/2017","SD-FNL-ATL-17-1189756","Renewal","Nashville","CRC Insurance Services Inc","Private/NFP","LYNCHBURG NEIGHBORHOOD DEVELOPMENT FOUNDATION","Consulting","5","USD","60356.00","Void","","","North America","Financial Lines - 20150","USD","14000.00","Chris Cirelli","Jul","ccire"
"7/30/2017","SD-FNL-ATL-17-1184577","New","Nashville","Willis of Tennessee, Inc.","Private/NFP","Omega Plastics, LLC","Chemicals","297","USD","91423559.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","28482.00","Chris Cirelli","Jul","ccire"
"7/24/2017","SD-FNL-ATL-17-1230687","New","Atlanta","Risk Placement Services, Inc.","Commercial","Heat Biologics","Biotechnology","25","USD","1519943.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1190835","New","Atlanta","CRC Insurance Services, Inc.","Private/NFP","Qualico Steel Co., Inc","Manufacturing","265","USD","58327373.00","Lost/NTU","Service","","North America","Financial Lines - 20150","USD","28598.00","Chris Cirelli","Jul","ccire"
"7/12/2017","SD-FNL-ATL-17-1189740","New","Atlanta","CRC Insurance Services, Inc.","Private/NFP","Urbana Hotels and Resorts, LLC","Finance","4","USD","258019.00","Declined","","Incomplete Submission","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1126732","New","Atlanta","Willis Insurance Services of Georgia, Inc.","Private/NFP","The Vanderbilt University","Education","0","USD","0.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","1.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1216219","New","Atlanta","Willis Insurance Services of Georgia, Inc.","Private/NFP","Moffit Genetics Corporation","Consulting","737","USD","52066294.00","Declined","","Financial","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1169189","New","Miami","Socius Insurance Services, Inc.","Private/NFP","America East Conference","Entertainment","10","USD","6698735.00","Declined","","Below Minimum Premium","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/24/2017","SD-FNL-ATL-17-1169200","New","Miami","Socius Insurance Services, Inc.","Commercial","Oragenics, Inc","Biotechnology","6","USD","0.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1137039","New","Atlanta","USI Insurance Services National, Inc.","Private/NFP","Celebration Restaurant Group, LLC","Retail","8","USD","833111.00","Declined","","Time Limitations","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1175460","Renewal","Charlotte","USI Insurance Services National, Inc","Commercial","Fairmount Santrol Holdings, Inc. (F/K/A FMSA Holdings, Inc.)","Other","989","USD","959795000.00","Void","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1189769","New","Atlanta","ARC South, LLC","Private/NFP","Hospitality USA Investment Group, Inc.","Retail","960","USD","50404230.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","28305.00","Chris Cirelli","Jul","ccire"
"7/22/2017","SD-FNL-ATL-17-1189752","New","Atlanta","ARC South, LLC","Private/NFP","Plattner Automotive Group Inc.","Retail","65","USD","30000000.00","Declined","","Below Minimum Premium","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1170538","New","Miami","CRC Insurance Services, Inc.","Private/NFP","Sarasota Military Academy, Inc.","Education","50","USD","12956232.00","Declined","","Other Underwriting Guidelines","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/15/2017","SD-FNL-ATL-17-1189747","New","Miami","CRC Insurance Services, Inc.","Private/NFP","Los Angeles Film Schools, LLC","Education","350","USD","27031730.00","Void","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/1/2017","SD-FNL-ATL-17-1169203","New","Miami","USI Insurance Services LLC","Private/NFP","Lehman Dealership Enterprises, Inc","Retail","243","USD","68727134.00","Declined","","Incomplete Submission","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/24/2017","SD-FNL-ATL-17-1180191","New","Miami","USI Insurance Services LLC","Private/NFP","Sims Crane & Equipment","Construction","200","USD","69115180.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","47710.00","Chris Cirelli","Jul","ccire"
"7/24/2017","SD-FNL-ATL-17-1182873","New","Miami","USI Insurance Services LLC","Private/NFP","Sims Crane & Equipment","Construction","200","USD","69115180.00","Void","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/9/2017","SD-FNL-ATL-17-1141296","New","Nashville","RLA INS INTERMEDIARIES LLC","Private/NFP","Copiah County Medical Center","Healthcare","200","USD","10762765.00","Declined","","Time Limitations","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","ccire"
"7/31/2017","SD-FNL-ATL-17-1232039","New","Atlanta","CRC Insurance Services, Inc.","Private/NFP","Drew Foam Companies Inc.","Chemicals","151","USD","32795986.00","Lost/NTU","Coverage","","North America","Financial Lines - 20150","USD","14189.00","Chris Cirelli","Jul","cwhit"
"7/31/2017","SD-FNL-ATL-17-1227959","New","Atlanta","Risk Placement Services, Inc.","Commercial","CUMULUS MEDIA INC.","Telecommunications","5213","USD","1135662000.00","Declined","","Financial","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","gmunu"
"7/15/2017","SD-XFL-ATL-17-1134662","Renewal","Atlanta","Aon Risk Services South, Inc.","Commercial","HEICO CORPORATION","Manufacturing","1011","USD","311133911.00","Bound","","","North America","Financial Lines - 20150","USD","30015.00","Chris Cirelli","Jul","iadmi"
"7/1/2018","SD-XFL-ATL-18-1536606","Renewal","Nashville","Willis of Tennessee, Inc.","Private/NFP","Vanderbilt University Medical Center","Healthcare","19000","USD","4086399000.00","Bound","","","North America","Financial Lines - 20150","USD","87000.00","Chris Cirelli","Jul","iadmi"
"7/1/2019","SD-XFL-ATL-19-1797475","Renewal","Atlanta","Willis Insurance Services of Georgia, Inc.","Private/NFP","Vanderbilt University Medical Center","Healthcare","19000","USD","4086399000.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","iadmi"
"7/1/2017","SD-XFL-ATL-17-1174111","Renewal","Miami","Socius Insurance Services, Inc.","Financial Institutions","GreenSky LLC","Banking","500","USD","393073555.00","Bound","","","North America","Financial Lines - 20150","USD","75681.00","Chris Cirelli","Jul","iadmi"
"7/1/2017","SD-FNL-ATL-17-1123662","Renewal","Charlotte","USI Insurance Services National, Inc","Commercial","Fairmount Santrol Holdings, Inc. (F/K/A FMSA Holdings, Inc.)","Other","989","USD","959795000.00","Bound","","","North America","Financial Lines - 20150","USD","61485.00","Chris Cirelli","Jul","iadmi"
"7/27/2017","SD-XFL-ATL-17-1144601","Renewal","Atlanta","Arthur J Gallagher & Co","Commercial","Sanderson Farms","Manufacturing","15104","USD","3236004000.00","Bound","","","North America","Financial Lines - 20150","USD","19008.00","Chris Cirelli","Jul","iadmi"
"7/1/2018","SD-FNL-ATL-18-1559815","New","Charlotte","USI Insurance Services National, Inc","Commercial","Covia Holdings Corp","","0","USD","","Bound","","","North America","Financial Lines - 20150","USD","145000.00","Chris Cirelli","Jul","JSanchez"
"7/1/2018","SD-FNL-ATL-18-1530280","New","Atlanta","MHG Services, Inc.","Private/NFP","Bianchi & cecchi Service, Inc","Shipping","20","USD","2943556.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","11547.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1546934","New","Atlanta","Risk Placement Services","Private/NFP","CP Franchising, LLC","Hospitality","85","USD","56392324.00","Declined","","Loss History","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/8/2018","SD-FNL-ATL-18-1537576","New","Atlanta","Risk Placement Services","Private/NFP","Vizcayne North Condo Assn Inc,","Not For Profit","8","USD","518834.00","Declined","","Loss History","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/8/2018","SD-FNL-ATL-18-1537639","New","Atlanta","Risk Placement Services","Private/NFP","Vizcayne South Condo Assn Inc.","Not For Profit","8","USD","471667.00","Declined","","Loss History","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/19/2018","SD-FNL-ATL-18-1538045","New","Atlanta","Risk Placement Services","Private/NFP","Azumi Ltd","","0","USD","","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","35367.00","Chris Cirelli","Jul","sbatc"
"7/25/2018","SD-FNL-ATL-18-1565531","New","Atlanta","Risk Placement Services","Private/NFP","Jurney and Associates Inc","Other","3","USD","800000.00","Lost/NTU","Lost/NTU","","North America","Financial Lines - 20150","USD","8627.00","Chris Cirelli","Jul","sbatc"
"7/8/2019","SD-FNL-ATL-19-1730820","New","Atlanta","Risk Placement Services","Private/NFP","Vizcayne South Condo Assn Inc.","Not For Profit","8","USD","471667.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1510990","New","Nashville","Worldwide Facilities, LLC","Private/NFP","Northwest Arkansas Community College","Education","450","USD","15698487.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1535844","New","Nashville","Worldwide Facilities, LLC","Private/NFP","B'nai B'rith Home & Hospital for the Aged, Inc.","Healthcare","220","USD","17471789.00","Declined","","Time Limitations","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1552274","New","Nashville","Worldwide Facilities, LLC","Private/NFP","Better Business Bureau, Inc.","Not For Profit","28","USD","5346626.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/27/2018","SD-FNL-ATL-18-1555674","New","Nashville","Worldwide Facilities, LLC","Private/NFP","Respirogen, Inc.","Retail","3","USD","191419.00","Declined","","Financial","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2019","SD-FNL-ATL-19-1848385","New","Nashville","Worldwide Facilities, LLC","Private/NFP","Denver Rescue Mission","Other","155","USD","33616935.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2019","SD-FNL-ATL-19-1848327","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Lowndes County School District","Education","667","USD","53883587.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/8/2018","SD-FNL-ATL-18-1537480","New","Charlotte","Aon Risk Services South, Inc.","Commercial","Cato Corporation","Apparel","10500","USD","849981000.00","Declined","","Unable to Match Competitors","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/31/2018","SD-XFL-ATL-18-1499398","Renewal","Atlanta","McGriff, Seibels & Williams, Inc","Side A DIC","Goodrich Corporation","Technology","28000","USD","5455580356.00","Declined","","Auto Close","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1458693","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Sewon America, Inc.","Manufacturing","800","USD","359261971.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2019","SD-FNL-ATL-19-1800443","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Sewon America, Inc.","Manufacturing","800","USD","359261971.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1416855","New","Atlanta","Beecher Carlson Insurance Services LLC","Commercial","HAVERTY'S FURNITURE COMPANIES","Retail","3551","USD","820027000.00","Lost/NTU","Price","","North America","Financial Lines - 20150","USD","136095.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1549077","New","Charlotte","AmWins Brokerage of the Carolinas, LLC","Private/NFP","Tippah County Hospital","Healthcare","245","USD","15109207.00","Declined","","Unable to Match Competitors","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2019","SD-FNL-ATL-19-1798105","New","Charlotte","AmWins Brokerage of the Carolinas, LLC","Private/NFP","Copiah County Medical Center","Healthcare","200","USD","10762765.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2019","SD-FNL-ATL-19-1804807","New","Charlotte","AmWins Brokerage of the Carolinas, LLC","Private/NFP","TriHealth, Inc.","Consulting","13000","USD","184023078.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/21/2017","SD-FNL-ATL-17-1188275","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","Jackpocket, Inc.","Consulting","1","USD","100000.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/29/2017","SD-FNL-ATL-17-1189751","New","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","RESTON HOMEOWNERS ASSOCIATION","Not For Profit","85","USD","17758383.00","Void","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/29/2018","SD-FNL-ATL-18-1497216","Renewal","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","RESTON HOMEOWNERS ASSOCIATION","Not For Profit","85","USD","17758383.00","Bound","","","North America","Financial Lines - 20150","USD","30233.00","Chris Cirelli","Jul","sbatc"
"7/29/2019","SD-FNL-ATL-19-1828523","Renewal","Atlanta","AmWINS Brokerage of Georgia - Atlanta, GA","Private/NFP","RESTON HOMEOWNERS ASSOCIATION","Not For Profit","85","USD","17758383.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2017","SD-FNL-ATL-17-1123890","Renewal","Atlanta","AmWINS Brokerage of Tennessee","Private/NFP","Love, Beal, & Nixon PC","Other","90","USD","10176491.00","Lost/NTU","Limits/Deductible","","North America","Financial Lines - 20150","USD","17563.00","Chris Cirelli","Jul","sbatc"
"7/30/2017","SD-FNL-ATL-17-1145514","Renewal","Atlanta","AmWINS Brokerage of Tennessee","Private/NFP","No Greater Joy Ministries","Not For Profit","14","USD","752437.00","Bound","","","North America","Financial Lines - 20150","USD","7314.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1518043","New","Nashville","AmWINS Brokerage of Tennessee","Private/NFP","Touchstone Medical Imaging LLC","Consulting","170","USD","50713400.00","Lost/NTU","Agent Lost Account","","North America","Financial Lines - 20150","USD","71651.00","Chris Cirelli","Jul","sbatc"
"7/30/2018","SD-FNL-ATL-18-1498186","Renewal","Atlanta","AmWINS Brokerage of Tennessee","Private/NFP","No Greater Joy Ministries","Not For Profit","14","USD","752437.00","Declined","","Auto Close","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2017","SD-XFL-ATL-17-1123739","Renewal","Atlanta","CRC Insurance Services Inc","Private/NFP","BRASFIELD & GORRIE LLC","Construction","2500","USD","2424964081.00","Bound","","","North America","Financial Lines - 20150","USD","25295.00","Chris Cirelli","Jul","sbatc"
"7/15/2017","SD-FNL-ATL-17-1169268","New","Atlanta","CRC Insurance Services Inc","Private/NFP","IDW Media Holdings, INC","Manufacturing","4","USD","110691.00","Declined","","Deductible Level","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-XFL-ATL-18-1457845","Renewal","Atlanta","CRC Insurance Services Inc","Private/NFP","BRASFIELD & GORRIE LLC","Construction","2500","USD","2424964081.00","Bound","","","North America","Financial Lines - 20150","USD","44551.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-XFL-ATL-18-1542420","New","Atlanta","CRC Insurance Services Inc","Private/NFP","BRASFIELD & GORRIE LLC","Construction","2500","USD","2424964081.00","Lost/NTU","Insured Did Not Purchase/Renew","","North America","Financial Lines - 20150","USD","48932.00","Chris Cirelli","Jul","sbatc"
"7/1/2018","SD-FNL-ATL-18-1554073","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Resource Plus of North Florida Inc.","Other","13","USD","20045721.00","Lost/NTU","Agent Lost Account","","North America","Financial Lines - 20150","USD","15941.00","Chris Cirelli","Jul","sbatc"
"7/15/2018","SD-FNL-ATL-18-1564552","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Digital Health Department, Inc","Consulting","12","USD","2000000.00","Declined","","Out of Appetite","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/20/2018","SD-FNL-ATL-18-1572348","New","Atlanta","CRC Insurance Services Inc","Financial Institutions","Georgia Bankers Associations, Inc.","Not For Profit","25","USD","3432478.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/21/2018","SD-FNL-ATL-18-1566558","New","Atlanta","CRC Insurance Services Inc","Private/NFP","Firefly Entertainment , Inc .","Entertainment","1","USD","154144.00","Declined","","Nature of Insured's Business","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
"7/1/2019","SD-XFL-ATL-19-1797300","Renewal","Atlanta","CRC Insurance Services Inc","Private/NFP","BRASFIELD & GORRIE LLC","Construction","2500","USD","2424964081.00","Working","","","North America","Financial Lines - 20150","USD","0.00","Chris Cirelli","Jul","sbatc"
